Room Calculations Template	LocalTime	Description	Location	Outside Air Carbon Dioxide	Outside Air Carbon Dioxide Maximum	Outside Air Carbon Dioxide Minimum	Outside Air Temperature	Return Air Carbon Dioxide	Room Air Temperature	Room Air Temperature 1-hour Maximum	Room Air Temperature 1-hour Minimum	Room Carbon Dioxide	Room Carbon Dioxide 1-hour Maximum	Room Carbon Dioxide 1-hour Minimum	Room Carbon Dioxide Maximum	Room Carbon Dioxide Minimum	Supply Air Temperature
AH-22 Room Air Calculations	2016-03-01 00:00:00	Based on room air	Terminal 2 East Gates 24-28 Roof	678.775024414063	850	800	60.9269371032715	686.243530273438	65.208740234375	65.2087426546412	65.1936990055471	506.031066894531	506.158934299798	506.03107643034	750	450	70.151481628418
AH-22 Room Air Calculations	2016-03-01 01:00:00	Based on room air	Terminal 2 East Gates 24-28 Roof	681.257995605469	850	800	60.9283218383789	685.760498046875	68.1433944702148	68.143396308087	65.0066986083984	486.104156494141	510.006011962891	486.104152676439	750	450	69.7009124755859
AH-22 Room Air Calculations	2016-03-01 02:00:00	Based on room air	Terminal 2 East Gates 24-28 Roof	688.575012207031	850	800	60.0646018981934	687.524780273438	66.6322402954102	68.2157974243164	66.6322430407777	496.986083984375	496.986075559875	481.177001953125	750	450	69.7137908935547
AH-22 Room Air Calculations	2016-03-01 03:00:00	Based on room air	Terminal 2 East Gates 24-28 Roof	693.078979492188	850	800	58.5542869567871	689.2890625	65.2911224365234	66.6322430407777	65.291123434236	504.008422851563	505.079986572266	496.824005126953	750	450	69.5758819580078
AH-22 Room Air Calculations	2016-03-01 04:00:00	Based on room air	Terminal 2 East Gates 24-28 Roof	690.887390136719	850	800	58.6571426391602	691.053344726563	65.1607894897461	65.6175994873047	65.1607927618184	502.139678955078	508.138000488281	498.046997070313	750	450	69.33642578125
AH-22 Room Air Calculations	2016-03-01 05:00:00	Based on room air	Terminal 2 East Gates 24-28 Roof	698.406005859375	850	800	56.9538116455078	692.817565917969	64.9120712280273	65.3505020141602	64.9120750110114	511.934112548828	515.137023925781	500.085998535156	750	450	67.6203460693359
AH-22 Room Air Calculations	2016-03-01 06:00:00	Based on room air	Terminal 2 East Gates 24-28 Roof	700.982177734375	850	800	56.0382537841797	700.485717773438	65.0469207763672	65.7642974853516	64.6994018554688	545.104858398438	546.10498046875	511.934122196164	750	450	70.2321929931641
AH-22 Room Air Calculations	2016-03-01 07:00:00	Based on room air	Terminal 2 East Gates 24-28 Roof	702.442993164063	850	800	56.2947235107422	753.096252441406	64.9036331176758	65.0469172540963	64.6880035400391	594.062316894531	594.062309105881	539.192993164063	750	450	69.7700653076172
AH-22 Room Air Calculations	2016-03-01 08:00:00	Based on room air	Terminal 2 East Gates 24-28 Roof	695.93798828125	850	800	55.9966011047363	809.026611328125	64.923942565918	65.19580078125	64.8564987182617	634.129211425781	708.18701171875	594.062309105881	750	450	70.3287353515625
AH-22 Room Air Calculations	2016-03-01 09:00:00	Based on room air	Terminal 2 East Gates 24-28 Roof	705.861999511719	850	800	55.9027252197266	876.403381347656	66.2072982788086	66.2073009289682	64.923940441101	827.981628417969	827.981638328246	634.129218706338	750	450	69.8877029418945
AH-22 Room Air Calculations	2016-03-01 10:00:00	Based on room air	Terminal 2 East Gates 24-28 Roof	704.801025390625	850	800	56.0240707397461	800.116088867188	65.2214202880859	66.8806991577148	65.0995025634766	565.590393066406	884.280029296875	549.213989257813	750	450	70.0442352294922
AH-22 Room Air Calculations	2016-03-01 11:00:00	Based on room air	Terminal 2 East Gates 24-28 Roof	693.700012207031	850	800	56.9506187438965	822.186584472656	65.7622528076172	65.7622563794492	64.2135009765625	684.721557617188	684.721562680463	544.117004394531	750	450	69.6811599731445
AH-22 Room Air Calculations	2016-03-01 12:00:00	Based on room air	Terminal 2 East Gates 24-28 Roof	698.443969726563	850	800	56.608039855957	904.671997070313	66.8689498901367	67.258903503418	65.7622563794492	879.828247070313	937.111022949219	622.060974121094	750	450	69.7878646850586
AH-22 Room Air Calculations	2016-03-01 13:00:00	Based on room air	Terminal 2 East Gates 24-28 Roof	718.156005859375	850	800	56.7526016235352	835.478759765625	66.0630416870117	66.8689473236317	66.0119018554688	588.188293457031	932.101013183594	584.068969726563	750	450	70.0007705688477
AH-22 Room Air Calculations	2016-03-01 14:00:00	Based on room air	Terminal 2 East Gates 24-28 Roof	674.762023925781	850	800	57.9543228149414	744.806396484375	65.7374267578125	66.0630420495404	65.3768997192383	586.283508300781	652.122009277344	584.018005371094	750	450	69.9389266967773
AH-22 Room Air Calculations	2016-03-01 15:00:00	Based on room air	Terminal 2 East Gates 24-28 Roof	679.556030273438	850	800	57.7629318237305	771.765441894531	66.20947265625	66.2094752005618	65.737426622041	676.946533203125	682.028015136719	586.036987304688	750	450	69.8898086547852
